# Alambda for ATLAS9 + DUSTY99 + blackbody spectra:
#  n      Teff  logg  Av   Rv          u        g        r        i        z
  30      1000  4.00  5.0  3.1     7.333    5.312    4.060    3.117    2.167 
  30      1000  4.00  6.0  3.1     8.797    6.369    4.869    3.735    2.594 
  30      1000  4.00  7.0  3.1    10.260    7.425    5.678    4.352    3.020 
  30      1000  4.00  8.0  3.1    11.722    8.478    6.486    4.968    3.443 
  30      1000  4.00  9.0  3.1    13.184    9.530    7.293    5.582    3.865 
  30      1000  4.00 10.0  3.1    14.644   10.581    8.100    6.194    4.285 
  31      1000  4.50  1.0  3.1     1.468    1.066    0.814    0.627    0.438 
  31      1000  4.50  2.0  3.1     2.935    2.129    1.627    1.252    0.873 
  31      1000  4.50  3.0  3.1     4.401    3.191    2.438    1.875    1.307 
  31      1000  4.50  4.0  3.1     5.866    4.251    3.249    2.497    1.739 
  31      1000  4.50  5.0  3.1     7.330    5.309    4.059    3.117    2.168 
  31      1000  4.50  6.0  3.1     8.794    6.365    4.869    3.735    2.596 
  31      1000  4.50  7.0  3.1    10.256    7.420    5.677    4.352    3.022 
  31      1000  4.50  8.0  3.1    11.718    8.473    6.485    4.967    3.446 
  31      1000  4.50  9.0  3.1    13.179    9.524    7.292    5.581    3.868 
  31      1000  4.50 10.0  3.1    14.639   10.574    8.099    6.194    4.289 
  32      1000  5.00  1.0  3.1     1.467    1.065    0.813    0.627    0.438 
  32      1000  5.00  2.0  3.1     2.933    2.128    1.625    1.252    0.875 
  32      1000  5.00  3.0  3.1     4.398    3.189    2.437    1.875    1.309 
  32      1000  5.00  4.0  3.1     5.863    4.248    3.248    2.497    1.740 
  32      1000  5.00  5.0  3.1     7.326    5.305    4.058    3.117    2.171 
  32      1000  5.00  6.0  3.1     8.789    6.361    4.867    3.735    2.599 
  32      1000  5.00  7.0  3.1    10.251    7.415    5.676    4.352    3.025 
  32      1000  5.00  8.0  3.1    11.712    8.467    6.483    4.968    3.449 
  32      1000  5.00  9.0  3.1    13.172    9.518    7.290    5.582    3.872 
  32      1000  5.00 10.0  3.1    14.632   10.567    8.097    6.194    4.293 
  33      1000  5.50  1.0  3.1     1.467    1.064    0.813    0.628    0.439 
  33      1000  5.50  2.0  3.1     2.933    2.127    1.626    1.253    0.875 
  33      1000  5.50  3.0  3.1     4.398    3.189    2.438    1.877    1.310 
  33      1000  5.50  4.0  3.1     5.862    4.248    3.249    2.499    1.743 
  33      1000  5.50  5.0  3.1     7.326    5.306    4.059    3.119    2.174 
  33      1000  5.50  6.0  3.1     8.788    6.362    4.869    3.738    2.603 
  33      1000  5.50  7.0  3.1    10.250    7.416    5.677    4.355    3.030 
  33      1000  5.50  8.0  3.1    11.711    8.468    6.485    4.971    3.455 
  33      1000  5.50  9.0  3.1    13.172    9.519    7.293    5.585    3.878 
  33      1000  5.50 10.0  3.1    14.631   10.569    8.099    6.198    4.300 
  34      1000  6.00  1.0  3.1     1.468    1.067    0.814    0.629    0.441 
  34      1000  6.00  2.0  3.1     2.935    2.132    1.628    1.256    0.880 
  34      1000  6.00  3.0  3.1     4.401    3.195    2.441    1.881    1.316 
  34      1000  6.00  4.0  3.1     5.866    4.257    3.254    2.504    1.751 
  34      1000  6.00  5.0  3.1     7.331    5.316    4.065    3.126    2.184 
  34      1000  6.00  6.0  3.1     8.794    6.374    4.875    3.746    2.615 
  34      1000  6.00  7.0  3.1    10.257    7.430    5.685    4.364    3.043 
  34      1000  6.00  8.0  3.1    11.719    8.484    6.494    4.981    3.470 
  34      1000  6.00  9.0  3.1    13.180    9.537    7.302    5.596    3.896 
  34      1000  6.00 10.0  3.1    14.640   10.588    8.110    6.210    4.319 
  35      1100  3.50  1.0  3.1     1.472    1.072    0.817    0.631    0.443 
  35      1100  3.50  2.0  3.1     2.943    2.142    1.633    1.260    0.884 
  35      1100  3.50  3.0  3.1     4.413    3.210    2.448    1.887    1.324 
  35      1100  3.50  4.0  3.1     5.882    4.276    3.263    2.513    1.761 
  35      1100  3.50  5.0  3.1     7.351    5.340    4.076    3.137    2.195 
  35      1100  3.50  6.0  3.1     8.818    6.402    4.888    3.758    2.628 
  35      1100  3.50  7.0  3.1    10.284    7.463    5.700    4.379    3.059 
  35      1100  3.50  8.0  3.1    11.750    8.521    6.511    4.997    3.488 
  35      1100  3.50  9.0  3.1    13.214    9.578    7.321    5.615    3.916 
  35      1100  3.50 10.0  3.1    14.678   10.633    8.130    6.230    4.341 
  36      1100  4.00  1.0  3.1     1.473    1.072    0.817    0.631    0.444 
