# BCs for ATLAS9 + DUSTY99 + blackbody spectra:
#  n     Teff  logg        u        g        r        i        z
 140     3100  5.50   -6.993   -3.426   -1.802   -0.396    0.399
 141     3200  5.00   -6.154   -3.094   -1.591   -0.328    0.409
 142     3200  5.50   -6.520   -3.149   -1.567   -0.305    0.416
 143     3300  5.00   -5.838   -2.872   -1.409   -0.252    0.424
 144     3300  5.50   -6.116   -2.903   -1.364   -0.226    0.430
 145     3400  5.00   -5.576   -2.676   -1.249   -0.186    0.436
 146     3400  5.50   -5.773   -2.686   -1.190   -0.157    0.440
 147     3500  5.00   -5.319   -2.488   -1.084   -0.127    0.434
 148     3500  5.50   -5.446   -2.483   -1.022   -0.096    0.443
 149     3600  5.00   -5.145   -2.337   -0.958   -0.076    0.438
 150     3600  5.50   -5.212   -2.318   -0.891   -0.045    0.446
 151     3700  5.00   -5.008   -2.205   -0.843   -0.034    0.435
 152     3700  5.50   -5.018   -2.174   -0.774   -0.001    0.446
 153     3800  5.00   -4.897   -2.084   -0.737    0.003    0.430
 154     3800  5.50   -4.855   -2.044   -0.668    0.039    0.443
 155     3500  0.00   -7.191   -3.332   -1.845   -0.540    0.174
 156     3500  0.50   -6.884   -3.378   -1.989   -0.591    0.158
 157     3500  1.00   -6.573   -3.409   -2.106   -0.633    0.145
 158     3500  1.50   -6.256   -3.422   -2.195   -0.665    0.136
 159     3500  2.00   -5.935   -3.404   -2.244   -0.678    0.136
 160     3500  2.50   -5.618   -3.347   -2.249   -0.668    0.153
 161     3500  3.00   -5.324   -3.247   -2.204   -0.625    0.191
 162     3500  3.50   -5.065   -3.096   -2.096   -0.544    0.253
 163     3500  4.00   -4.843   -2.910   -1.924   -0.432    0.337
 164     3500  4.50   -4.649   -2.711   -1.697   -0.302    0.429
 165     3500  5.00   -4.538   -2.541   -1.450   -0.187    0.498
 166     3750  0.00   -6.809   -2.464   -0.863   -0.159    0.286
 167     3750  0.50   -6.509   -2.472   -0.926   -0.181    0.284
 168     3750  1.00   -6.219   -2.474   -0.994   -0.202    0.285
 169     3750  1.50   -5.930   -2.468   -1.064   -0.222    0.287
 170     3750  2.00   -5.648   -2.459   -1.132   -0.240    0.289
 171     3750  2.50   -5.373   -2.448   -1.198   -0.256    0.293
 172     3750  3.00   -5.125   -2.439   -1.254   -0.265    0.301
 173     3750  3.50   -4.910   -2.419   -1.285   -0.262    0.316
 174     3750  4.00   -4.731   -2.381   -1.276   -0.236    0.346
 175     3750  4.50   -4.562   -2.307   -1.197   -0.177    0.395
 176     3750  5.00   -4.415   -2.210   -1.067   -0.099    0.451
 177     4000  0.00   -6.264   -1.914   -0.448    0.028    0.333
 178     4000  0.50   -5.990   -1.912   -0.471    0.017    0.329
 179     4000  1.00   -5.723   -1.910   -0.496    0.007    0.327
 180     4000  1.50   -5.458   -1.896   -0.520   -0.003    0.326
 181     4000  2.00   -5.204   -1.883   -0.547   -0.013    0.326
 182     4000  2.50   -4.975   -1.870   -0.579   -0.024    0.327
 183     4000  3.00   -4.776   -1.868   -0.617   -0.034    0.331
 184     4000  3.50   -4.618   -1.874   -0.658   -0.041    0.339
 185     4000  4.00   -4.490   -1.881   -0.691   -0.042    0.353
 186     4000  4.50   -4.381   -1.881   -0.700   -0.026    0.378
 187     4000  5.00   -4.266   -1.856   -0.656    0.015    0.413
 188     4250  0.00   -5.471   -1.522   -0.220    0.140    0.363
 189     4250  0.50   -5.263   -1.515   -0.235    0.131    0.359
 190     4250  1.00   -5.041   -1.509   -0.250    0.124    0.356
 191     4250  1.50   -4.819   -1.497   -0.263    0.118    0.352
 192     4250  2.00   -4.605   -1.481   -0.274    0.111    0.348
 193     4250  2.50   -4.428   -1.472   -0.284    0.105    0.344
 194     4250  3.00   -4.284   -1.468   -0.298    0.100    0.342
 195     4250  3.50   -4.183   -1.479   -0.316    0.095    0.345
 196     4250  4.00   -4.115   -1.497   -0.335    0.092    0.351
 197     4250  4.50   -4.066   -1.519   -0.353    0.094    0.363
 198     4250  5.00   -4.012   -1.535   -0.357    0.109    0.384
 199     4500  0.00   -4.678   -1.232   -0.068    0.217    0.378
 200     4500  0.50   -4.534   -1.221   -0.080    0.207    0.374
 201     4500  1.00   -4.380   -1.214   -0.093    0.201    0.372
 202     4500  1.50   -4.214   -1.206   -0.105    0.195    0.370
 203     4500  2.00   -4.049   -1.192   -0.115    0.189    0.365
 204     4500  2.50   -3.903   -1.181   -0.122    0.183    0.360
 205     4500  3.00   -3.799   -1.176   -0.129    0.179    0.355
 206     4500  3.50   -3.726   -1.183   -0.137    0.177    0.354
 207     4500  4.00   -3.689   -1.200   -0.145    0.177    0.356
 208     4500  4.50   -3.678   -1.223   -0.152    0.178    0.360
 209     4500  5.00   -3.678   -1.252   -0.160    0.184    0.369
 210     4750  0.00   -4.026   -1.003    0.036    0.272    0.381
 211     4750  0.50   -3.910   -0.991    0.026    0.261    0.377
 212     4750  1.00   -3.796   -0.983    0.016    0.253    0.375
 213     4750  1.50   -3.677   -0.976    0.006    0.247    0.373
 214     4750  2.00   -3.554   -0.966   -0.004    0.240    0.369
 215     4750  2.50   -3.439   -0.955   -0.013    0.234    0.364
 216     4750  3.00   -3.353   -0.948   -0.019    0.229    0.359
 217     4750  3.50   -3.293   -0.948   -0.024    0.226    0.355
 218     4750  4.00   -3.263   -0.957   -0.029    0.226    0.355
 219     4750  4.50   -3.261   -0.975   -0.033    0.228    0.357
 220     4750  5.00   -3.279   -0.999   -0.035    0.232    0.362
 221     5000  0.00   -3.514   -0.808    0.105    0.307    0.376
 222     5000  0.50   -3.400   -0.797    0.097    0.295    0.370
 223     5000  1.00   -3.294   -0.790    0.088    0.286    0.366
 224     5000  1.50   -3.194   -0.785    0.079    0.279    0.363
 225     5000  2.00   -3.097   -0.780    0.071    0.271    0.360
 226     5000  2.50   -3.009   -0.772    0.062    0.264    0.355
 227     5000  3.00   -2.937   -0.766    0.056    0.258    0.350
 228     5000  3.50   -2.887   -0.763    0.051    0.254    0.346
 229     5000  4.00   -2.859   -0.765    0.047    0.252    0.344
 230     5000  4.50   -2.853   -0.774    0.044    0.253    0.345
 231     5000  5.00   -2.869   -0.790    0.043    0.256    0.347
 232     5250  0.00   -3.090   -0.631    0.151    0.319    0.361
 233     5250  0.50   -2.984   -0.626    0.143    0.308    0.353
 234     5250  1.00   -2.883   -0.623    0.135    0.299    0.348
 235     5250  1.50   -2.789   -0.621    0.127    0.291    0.343
 236     5250  2.00   -2.703   -0.620    0.118    0.284    0.339
 237     5250  2.50   -2.628   -0.618    0.111    0.277    0.335
 238     5250  3.00   -2.567   -0.616    0.105    0.271    0.330
 239     5250  3.50   -2.524   -0.615    0.100    0.266    0.327
 240     5250  4.00   -2.500   -0.615    0.097    0.263    0.324
 241     5250  4.50   -2.494   -0.619    0.095    0.263    0.323
 242     5250  5.00   -2.507   -0.628    0.095    0.265    0.325
 243     5500  0.00   -2.719   -0.467    0.182    0.310    0.335
 244     5500  0.50   -2.633   -0.471    0.173    0.302    0.327
 245     5500  1.00   -2.544   -0.474    0.165    0.294    0.320
 246     5500  1.50   -2.457   -0.477    0.156    0.287    0.314
 247     5500  2.00   -2.378   -0.481    0.148    0.280    0.309
 248     5500  2.50   -2.308   -0.484    0.141    0.274    0.304
 249     5500  3.00   -2.250   -0.487    0.134    0.268    0.300
 250     5500  3.50   -2.209   -0.490    0.130    0.264    0.297
 251     5500  4.00   -2.184   -0.493    0.127    0.261    0.294
 252     5500  4.50   -2.176   -0.496    0.126    0.260    0.294
 253     5500  5.00   -2.186   -0.501    0.126    0.262    0.295
 254     5750  0.00   -2.387   -0.319    0.198    0.282    0.298
 255     5750  0.50   -2.331   -0.332    0.191    0.279    0.290
 256     5750  1.00   -2.260   -0.342    0.183    0.274    0.283
 257     5750  1.50   -2.185   -0.351    0.174    0.269    0.276
 258     5750  2.00   -2.113   -0.360    0.166    0.264    0.271
 259     5750  2.50   -2.047   -0.368    0.159    0.258    0.266
 260     5750  3.00   -1.990   -0.375    0.151    0.254    0.261
 261     5750  3.50   -1.947   -0.383    0.146    0.250    0.258
 262     5750  4.00   -1.916   -0.389    0.142    0.247    0.256
 263     5750  4.50   -1.903   -0.395    0.141    0.247    0.256
 264     5750  5.00   -1.906   -0.400    0.142    0.248    0.257
 265     6000  0.00   -2.095   -0.187    0.200    0.238    0.250
 266     6000  0.50   -2.073   -0.209    0.196    0.242    0.245
 267     6000  1.00   -2.023   -0.226    0.190    0.242    0.239
 268     6000  1.50   -1.963   -0.240    0.183    0.241    0.232
 269     6000  2.00   -1.900   -0.254    0.175    0.238    0.226
 270     6000  2.50   -1.839   -0.267    0.167    0.234    0.221
 271     6000  3.00   -1.784   -0.279    0.160    0.230    0.217
 272     6000  3.50   -1.737   -0.291    0.154    0.227    0.213
 273     6000  4.00   -1.700   -0.301    0.149    0.225    0.211
 274     6000  4.50   -1.678   -0.310    0.147    0.224    0.211
 275     6000  5.00   -1.671   -0.317    0.147    0.226    0.212
 276     6250  0.50   -1.853   -0.100    0.189    0.193    0.193
 277     6250  1.00   -1.829   -0.123    0.188    0.200    0.189
 278     6250  1.50   -1.784   -0.143    0.184    0.203    0.184
 279     6250  2.00   -1.730   -0.161    0.177    0.204    0.178
 280     6250  2.50   -1.674   -0.179    0.169    0.202    0.172
 281     6250  3.00   -1.621   -0.196    0.162    0.200    0.168
 282     6250  3.50   -1.571   -0.211    0.155    0.198    0.164
 283     6250  4.00   -1.530   -0.226    0.149    0.196    0.162
 284     6250  4.50   -1.499   -0.238    0.145    0.196    0.162
 285     6250  5.00   -1.481   -0.248    0.144    0.197    0.163
 286     6500  0.50   -1.669   -0.010    0.175    0.139    0.138
 287     6500  1.00   -1.666   -0.032    0.175    0.148    0.134
 288     6500  1.50   -1.640   -0.058    0.176    0.158    0.131
 289     6500  2.00   -1.596   -0.080    0.172    0.163    0.126
 290     6500  2.50   -1.546   -0.102    0.165    0.165    0.120
 291     6500  3.00   -1.494   -0.123    0.158    0.165    0.115
 292     6500  3.50   -1.444   -0.143    0.150    0.164    0.112
 293     6500  4.00   -1.398   -0.161    0.143    0.163    0.109
 294     6500  4.50   -1.359   -0.178    0.138    0.162    0.109
 295     6500  5.00   -1.331   -0.191    0.135    0.163    0.110
 296     6750  0.50   -1.510    0.061    0.156    0.082    0.081
 297     6750  1.00   -1.525    0.043    0.156    0.093    0.077
 298     6750  1.50   -1.518    0.020    0.157    0.105    0.072
 299     6750  2.00   -1.490   -0.009    0.160    0.116    0.070
 300     6750  2.50   -1.448   -0.034    0.156    0.122    0.066
 301     6750  3.00   -1.399   -0.059    0.149    0.125    0.061
 302     6750  3.50   -1.349   -0.083    0.141    0.126    0.057
 303     6750  4.00   -1.299   -0.106    0.133    0.126    0.054
 304     6750  4.50   -1.254   -0.126    0.126    0.125    0.053
 305     6750  5.00   -1.217   -0.144    0.122    0.126    0.054
 306     7000  0.50   -1.371    0.113    0.133    0.026    0.024
 307     7000  1.00   -1.402    0.100    0.134    0.037    0.019
 308     7000  1.50   -1.412    0.082    0.135    0.049    0.013
 309     7000  2.00   -1.401    0.056    0.138    0.062    0.010
 310     7000  2.50   -1.370    0.025    0.140    0.074    0.008
 311     7000  3.00   -1.328   -0.004    0.136    0.081    0.004
 312     7000  3.50   -1.279   -0.031    0.128    0.084    0.000
 313     7000  4.00   -1.228   -0.058    0.120    0.085   -0.003
 314     7000  4.50   -1.178   -0.083    0.111    0.085   -0.004
 315     7000  5.00   -1.133   -0.104    0.105    0.086   -0.004
 316     7250  0.50   -1.252    0.142    0.112   -0.023   -0.032
 317     7250  1.00   -1.290    0.142    0.108   -0.019   -0.040
 318     7250  1.50   -1.316    0.127    0.111   -0.006   -0.045
 319     7250  2.00   -1.321    0.107    0.113    0.006   -0.051
 320     7250  2.50   -1.306    0.079    0.116    0.019   -0.054
 321     7250  3.00   -1.272    0.045    0.117    0.032   -0.055
 322     7250  3.50   -1.228    0.013    0.111    0.038   -0.058
 323     7250  4.00   -1.179   -0.017    0.103    0.041   -0.062
 324     7250  4.50   -1.126   -0.046    0.094    0.042   -0.063
 325     7250  5.00   -1.075   -0.072    0.085    0.043   -0.063
 326     7500  0.50   -1.147    0.128    0.098   -0.053   -0.080
 327     7500  1.00   -1.186    0.166    0.079   -0.072   -0.097
 328     7500  1.50   -1.225    0.159    0.082   -0.062   -0.104
 329     7500  2.00   -1.246    0.142    0.085   -0.049   -0.110
 330     7500  2.50   -1.248    0.120    0.087   -0.037   -0.117
 331     7500  3.00   -1.227    0.088    0.090   -0.023   -0.118
 332     7500  3.50   -1.190    0.051    0.089   -0.011   -0.119
 333     7500  4.00   -1.144    0.017    0.082   -0.006   -0.122
 334     7500  4.50   -1.092   -0.015    0.073   -0.003   -0.124
 335     7500  5.00   -1.037   -0.045    0.063   -0.002   -0.124
 336     7750  1.00   -1.095    0.170    0.050   -0.121   -0.155
 337     7750  1.50   -1.139    0.176    0.050   -0.117   -0.164
 338     7750  2.00   -1.173    0.164    0.054   -0.105   -0.171
 339     7750  2.50   -1.189    0.145    0.057   -0.092   -0.177
 340     7750  3.00   -1.185    0.120    0.058   -0.080   -0.183
 341     7750  3.50   -1.160    0.084    0.060   -0.066   -0.184
 342     7750  4.00   -1.119    0.046    0.058   -0.056   -0.185
 343     7750  4.50   -1.070    0.010    0.049   -0.051   -0.186
 344     7750  5.00   -1.015   -0.024    0.039   -0.049   -0.186
 345     8000  1.00   -1.009    0.145    0.019   -0.162   -0.211
 346     8000  1.50   -1.058    0.176    0.014   -0.170   -0.223
 347     8000  2.00   -1.100    0.172    0.018   -0.160   -0.231
 348     8000  2.50   -1.128    0.157    0.023   -0.147   -0.238
 349     8000  3.00   -1.139    0.136    0.025   -0.135   -0.244
 350     8000  3.50   -1.131    0.108    0.026   -0.124   -0.250
 351     8000  4.00   -1.099    0.069    0.027   -0.111   -0.249
 352     8000  4.50   -1.055    0.030    0.022   -0.102   -0.249
 353     8000  5.00   -1.002   -0.007    0.012   -0.098   -0.249
 354     8250  1.00   -0.926    0.092   -0.024   -0.201   -0.277
 355     8250  1.50   -0.988    0.159   -0.024   -0.221   -0.283
 356     8250  2.00   -1.034    0.167   -0.022   -0.216   -0.293
 357     8250  2.50   -1.072    0.158   -0.016   -0.205   -0.300
 358     8250  3.00   -1.094    0.140   -0.012   -0.192   -0.307
 359     8250  3.50   -1.097    0.116   -0.010   -0.180   -0.313
 360     8250  4.00   -1.081    0.085   -0.011   -0.169   -0.316
 361     8250  4.50   -1.044    0.045   -0.011   -0.157   -0.315
 362     8250  5.00   -0.995    0.005   -0.017   -0.149   -0.313
 363     8500  1.50   -0.928    0.127   -0.066   -0.270   -0.344
 364     8500  2.00   -0.976    0.149   -0.065   -0.272   -0.355
 365     8500  2.50   -1.017    0.146   -0.060   -0.263   -0.363
 366     8500  3.00   -1.048    0.133   -0.055   -0.251   -0.370
 367     8500  3.50   -1.062    0.113   -0.051   -0.239   -0.377
 368     8500  4.00   -1.059    0.087   -0.050   -0.228   -0.382
 369     8500  4.50   -1.036    0.053   -0.050   -0.216   -0.383
 370     8500  5.00   -0.992    0.012   -0.052   -0.204   -0.379
 371     8750  1.50   -0.878    0.085   -0.112   -0.319   -0.408
 372     8750  2.00   -0.929    0.119   -0.110   -0.326   -0.417
 373     8750  2.50   -0.972    0.124   -0.107   -0.322   -0.427
 374     8750  3.00   -1.007    0.116   -0.102   -0.311   -0.435
 375     8750  3.50   -1.030    0.100   -0.097   -0.299   -0.442
 376     8750  4.00   -1.036    0.078   -0.094   -0.287   -0.447
 377     8750  4.50   -1.024    0.049   -0.094   -0.276   -0.449
 378     8750  5.00   -0.991    0.013   -0.093   -0.263   -0.447
 379     9000  1.50   -0.833    0.038   -0.161   -0.369   -0.475
 380     9000  2.00   -0.893    0.083   -0.157   -0.380   -0.480
 381     9000  2.50   -0.938    0.093   -0.156   -0.379   -0.491
 382     9000  3.00   -0.976    0.089   -0.152   -0.372   -0.501
 383     9000  3.50   -1.002    0.077   -0.147   -0.361   -0.508
 384     9000  4.00   -1.014    0.059   -0.142   -0.348   -0.513
