# BCs for ATLAS9 + DUSTY99 + blackbody spectra:
#  n     Teff  logg        V        u        v        b        y     Hb_w     Hb_n
  93     2000  6.00   -6.688  -16.528  -12.323   -9.464   -6.888   -8.405   -5.545
  94     2100  4.00   -6.043  -13.629   -9.809   -8.269   -6.038   -7.054   -4.708
  95     2100  5.00   -5.961  -15.747  -11.424   -8.312   -5.961   -7.028   -4.731
  96     2100  5.50   -6.396  -16.623  -12.202   -8.885   -6.447   -7.605   -5.157
  97     2100  6.00   -6.592  -16.404  -12.222   -9.200   -6.732   -7.987   -5.323
  98     2200  3.50   -5.558  -10.820   -7.634   -7.427   -5.505   -6.339   -3.865
  99     2200  4.00   -5.552  -11.925   -8.571   -7.494   -5.490   -6.393   -3.978
 100     2200  4.50   -5.601  -13.258   -9.698   -7.632   -5.534   -6.454   -4.179
 101     2200  5.00   -5.630  -14.646  -10.710   -7.753   -5.569   -6.505   -4.274
 102     2200  5.50   -5.862  -15.705  -11.463   -8.054   -5.825   -6.754   -4.458
 103     2200  6.00   -5.973  -15.873  -11.610   -8.190   -5.973   -6.820   -4.423
 104     2300  3.50   -5.052   -9.756   -6.826   -6.773   -4.971   -5.799   -3.208
 105     2300  4.00   -5.062  -10.701   -7.619   -6.829   -4.969   -5.843   -3.307
 106     2300  4.50   -5.168  -11.927   -8.678   -6.999   -5.064   -5.937   -3.559
 107     2300  5.00   -5.266  -13.430   -9.873   -7.191   -5.163   -6.036   -3.767
 108     2300  5.50   -5.419  -14.673  -10.775   -7.384   -5.321   -6.128   -3.879
 109     2300  6.00   -5.498  -15.102  -11.045   -7.489   -5.430   -6.138   -3.814
 110     2400  3.50   -4.559   -8.949   -6.200   -6.183   -4.468   -5.315   -2.609
 111     2400  4.00   -4.578   -9.715   -6.844   -6.219   -4.471   -5.344   -2.683
 112     2400  4.50   -4.704  -10.749   -7.745   -6.375   -4.580   -5.434   -2.919
 113     2400  5.50   -4.965  -13.394   -9.917   -6.732   -4.830   -5.581   -3.285
 114     2400  6.00   -5.142  -14.361  -10.585   -6.959   -5.027   -5.663   -3.331
 115     2500  3.50   -4.121   -8.421   -5.767   -5.687   -4.032   -4.908   -2.104
 116     2500  4.00   -4.124   -8.993   -6.257   -5.685   -4.018   -4.905   -2.132
 117     2500  4.50   -4.268   -9.850   -7.002   -5.829   -4.137   -4.995   -2.346
 118     2500  5.00   -4.378  -10.961   -7.982   -5.974   -4.235   -5.058   -2.549
 119     2500  5.50   -4.557  -12.316   -9.119   -6.190   -4.405   -5.145   -2.746
 120     2500  6.00   -4.746  -13.400   -9.944   -6.407   -4.599   -5.207   -2.808
 121     2600  3.50   -3.741   -8.008   -5.424   -5.256   -3.660   -4.546   -1.668
 122     2600  4.00   -3.722   -8.446   -5.805   -5.221   -3.624   -4.518   -1.658
 123     2600  4.50   -3.860   -9.145   -6.403   -5.342   -3.733   -4.598   -1.835
 124     2600  5.00   -3.945  -10.020   -7.187   -5.437   -3.803   -4.638   -1.980
 125     2600  5.50   -4.119  -11.220   -8.249   -5.629   -3.962   -4.718   -2.172
 126     2600  6.00   -4.347  -12.399   -9.209   -5.886   -4.184   -4.812   -2.301
 127     2700  3.50   -3.435   -7.676   -5.146   -4.899   -3.363   -4.240   -1.312
 128     2700  4.00   -3.373   -7.989   -5.432   -4.813   -3.283   -4.168   -1.246
 129     2700  4.50   -3.485   -8.547   -5.899   -4.897   -3.364   -4.226   -1.374
 130     2700  5.00   -3.548   -9.262   -6.534   -4.962   -3.415   -4.256   -1.475
 131     2700  5.50   -3.700  -10.264   -7.441   -5.117   -3.548   -4.327   -1.635
 132     2700  6.00   -3.926  -11.413   -8.427   -5.357   -3.757   -4.417   -1.772
 133     2800  5.00   -3.218   -9.696   -6.817   -4.605   -3.069   -3.922   -1.060
 134     2800  5.50   -3.421  -10.674   -7.727   -4.839   -3.236   -4.071   -1.232
 135     2900  5.00   -2.826   -8.931   -6.164   -4.138   -2.696   -3.528   -0.573
 136     2900  5.50   -3.012   -9.818   -6.984   -4.348   -2.849   -3.662   -0.725
 137     3000  5.00   -2.499   -8.285   -5.636   -3.754   -2.390   -3.201   -0.182
 138     3000  5.50   -2.635   -9.026   -6.301   -3.902   -2.494   -3.289   -0.280
 139     3100  5.00   -2.206   -7.713   -5.174   -3.405   -2.117   -2.892    0.177
 140     3100  5.50   -2.316   -8.326   -5.716   -3.528   -2.202   -2.964    0.110
 141     3200  5.00   -1.970   -7.249   -4.804   -3.120   -1.895   -2.639    0.466
 142     3200  5.50   -2.037   -7.716   -5.216   -3.198   -1.943   -2.683    0.436
 143     3300  5.00   -1.759   -6.841   -4.474   -2.864   -1.699   -2.405    0.718
 144     3300  5.50   -1.802   -7.197   -4.798   -2.920   -1.726   -2.436    0.696
 145     3400  5.00   -1.581   -6.506   -4.193   -2.640   -1.531   -2.205    0.933
 146     3400  5.50   -1.606   -6.757   -4.445   -2.679   -1.543   -2.222    0.929
 147     3500  5.00   -1.425   -6.221   -3.949   -2.444   -1.383   -2.022    1.133
 148     3500  5.50   -1.437   -6.382   -4.138   -2.469   -1.388   -2.033    1.133
 149     3600  5.00   -1.290   -5.976   -3.739   -2.270   -1.256   -1.862    1.304
 150     3600  5.50   -1.296   -6.058   -3.876   -2.290   -1.258   -1.872    1.302
 151     3700  5.00   -1.177   -5.765   -3.568   -2.125   -1.151   -1.727    1.448
 152     3700  5.50   -1.171   -5.798   -3.652   -2.125   -1.141   -1.723    1.456
 153     3800  5.00   -1.064   -5.563   -3.398   -1.973   -1.041   -1.585    1.598
 154     3800  5.50   -1.063   -5.544   -3.453   -1.982   -1.039   -1.593    1.592
 155     3500  0.00   -1.824   -7.842   -5.021   -3.097   -1.789   -2.609    0.487
 156     3500  0.50   -1.794   -7.424   -4.702   -2.967   -1.747   -2.522    0.573
 157     3500  1.00   -1.762   -7.004   -4.410   -2.855   -1.706   -2.447    0.646
 158     3500  1.50   -1.723   -6.603   -4.147   -2.752   -1.659   -2.374    0.718
 159     3500  2.00   -1.671   -6.235   -3.912   -2.646   -1.600   -2.296    0.798
 160     3500  2.50   -1.606   -5.911   -3.709   -2.538   -1.531   -2.210    0.886
 161     3500  3.00   -1.526   -5.653   -3.553   -2.433   -1.447   -2.119    0.984
 162     3500  3.50   -1.427   -5.452   -3.458   -2.344   -1.350   -2.025    1.089
 163     3500  4.00   -1.336   -5.331   -3.420   -2.270   -1.265   -1.942    1.188
 164     3500  4.50   -1.287   -5.315   -3.455   -2.233   -1.219   -1.903    1.247
 165     3500  5.00   -1.276   -5.384   -3.552   -2.231   -1.206   -1.902    1.269
 166     3750  0.00   -1.268   -7.084   -4.426   -2.417   -1.244   -1.936    1.183
