# Alambda for ATLAS9 + DUSTY99 + blackbody spectra:
#  n      Teff  logg  Av   Rv          I        J        H       Ks
  15       700  5.00  3.0  3.1     1.582    0.792    0.517    0.349 
  15       700  5.00  4.0  3.1     2.107    1.056    0.690    0.465 
  15       700  5.00  5.0  3.1     2.630    1.319    0.862    0.581 
  15       700  5.00  6.0  3.1     3.152    1.583    1.034    0.697 
  15       700  5.00  7.0  3.1     3.672    1.846    1.206    0.813 
  15       700  5.00  8.0  3.1     4.191    2.108    1.378    0.929 
  15       700  5.00  9.0  3.1     4.709    2.371    1.550    1.045 
  15       700  5.00 10.0  3.1     5.225    2.634    1.722    1.161 
  16       700  5.50  1.0  3.1     0.530    0.265    0.174    0.117 
  16       700  5.50  2.0  3.1     1.059    0.530    0.347    0.233 
  16       700  5.50  3.0  3.1     1.587    0.794    0.520    0.350 
  16       700  5.50  4.0  3.1     2.113    1.059    0.693    0.467 
  16       700  5.50  5.0  3.1     2.637    1.323    0.866    0.584 
  16       700  5.50  6.0  3.1     3.160    1.587    1.039    0.701 
  16       700  5.50  7.0  3.1     3.682    1.851    1.212    0.818 
  16       700  5.50  8.0  3.1     4.202    2.114    1.384    0.934 
  16       700  5.50  9.0  3.1     4.721    2.377    1.557    1.051 
  16       700  5.50 10.0  3.1     5.239    2.641    1.729    1.167 
  17       700  6.00  1.0  3.1     0.533    0.266    0.174    0.117 
  17       700  6.00  2.0  3.1     1.064    0.532    0.348    0.235 
  17       700  6.00  3.0  3.1     1.594    0.797    0.521    0.352 
  17       700  6.00  4.0  3.1     2.122    1.063    0.695    0.469 
  17       700  6.00  5.0  3.1     2.649    1.328    0.868    0.587 
  17       700  6.00  6.0  3.1     3.174    1.592    1.041    0.704 
  17       700  6.00  7.0  3.1     3.698    1.857    1.215    0.821 
  17       700  6.00  8.0  3.1     4.220    2.121    1.388    0.938 
  17       700  6.00  9.0  3.1     4.741    2.385    1.561    1.056 
  17       700  6.00 10.0  3.1     5.261    2.649    1.733    1.173 
  18       800  3.50  1.0  3.1     0.540    0.268    0.174    0.115 
  18       800  3.50  2.0  3.1     1.079    0.535    0.348    0.231 
  18       800  3.50  3.0  3.1     1.616    0.803    0.522    0.346 
  18       800  3.50  4.0  3.1     2.151    1.070    0.696    0.462 
  18       800  3.50  5.0  3.1     2.685    1.337    0.869    0.577 
  18       800  3.50  6.0  3.1     3.217    1.603    1.043    0.692 
  18       800  3.50  7.0  3.1     3.747    1.869    1.216    0.808 
  18       800  3.50  8.0  3.1     4.276    2.135    1.389    0.923 
  18       800  3.50  9.0  3.1     4.803    2.401    1.562    1.038 
  18       800  3.50 10.0  3.1     5.329    2.667    1.735    1.153 
  19       800  4.00  1.0  3.1     0.540    0.268    0.174    0.116 
  19       800  4.00  2.0  3.1     1.079    0.535    0.348    0.231 
  19       800  4.00  3.0  3.1     1.615    0.802    0.521    0.347 
  19       800  4.00  4.0  3.1     2.150    1.069    0.695    0.462 
  19       800  4.00  5.0  3.1     2.684    1.336    0.869    0.578 
  19       800  4.00  6.0  3.1     3.215    1.602    1.042    0.693 
  19       800  4.00  7.0  3.1     3.746    1.869    1.215    0.808 
  19       800  4.00  8.0  3.1     4.274    2.135    1.388    0.924 
  19       800  4.00  9.0  3.1     4.801    2.400    1.561    1.039 
  19       800  4.00 10.0  3.1     5.327    2.666    1.734    1.154 
  20       800  4.50  1.0  3.1     0.538    0.268    0.174    0.115 
  20       800  4.50  2.0  3.1     1.075    0.535    0.348    0.231 
  20       800  4.50  3.0  3.1     1.609    0.801    0.522    0.347 
  20       800  4.50  4.0  3.1     2.143    1.068    0.695    0.463 
  20       800  4.50  5.0  3.1     2.674    1.334    0.869    0.579 
  20       800  4.50  6.0  3.1     3.204    1.600    1.042    0.694 
  20       800  4.50  7.0  3.1     3.733    1.866    1.215    0.810 
  20       800  4.50  8.0  3.1     4.260    2.131    1.389    0.925 
  20       800  4.50  9.0  3.1     4.786    2.396    1.562    1.041 
  20       800  4.50 10.0  3.1     5.310    2.661    1.734    1.157 
  21       800  5.00  1.0  3.1     0.539    0.267    0.174    0.117 
  21       800  5.00  2.0  3.1     1.076    0.535    0.348    0.233 
  21       800  5.00  3.0  3.1     1.612    0.802    0.522    0.349 
  21       800  5.00  4.0  3.1     2.145    1.069    0.696    0.465 
  21       800  5.00  5.0  3.1     2.678    1.335    0.870    0.582 
  21       800  5.00  6.0  3.1     3.209    1.602    1.044    0.698 
  21       800  5.00  7.0  3.1     3.738    1.868    1.217    0.814 
  21       800  5.00  8.0  3.1     4.265    2.134    1.391    0.930 
  21       800  5.00  9.0  3.1     4.792    2.399    1.564    1.046 
  21       800  5.00 10.0  3.1     5.317    2.665    1.738    1.162 
  22       800  5.50  1.0  3.1     0.540    0.268    0.175    0.117 
  22       800  5.50  2.0  3.1     1.079    0.536    0.349    0.234 
  22       800  5.50  3.0  3.1     1.616    0.804    0.524    0.351 
  22       800  5.50  4.0  3.1     2.151    1.072    0.698    0.468 
  22       800  5.50  5.0  3.1     2.685    1.339    0.873    0.584 
  22       800  5.50  6.0  3.1     3.217    1.606    1.047    0.701 
  22       800  5.50  7.0  3.1     3.748    1.873    1.221    0.818 
  22       800  5.50  8.0  3.1     4.277    2.139    1.395    0.934 
  22       800  5.50  9.0  3.1     4.804    2.405    1.569    1.051 
  22       800  5.50 10.0  3.1     5.330    2.671    1.742    1.167 
  23       800  6.00  1.0  3.1     0.544    0.270    0.175    0.118 
  23       800  6.00  2.0  3.1     1.085    0.539    0.350    0.235 
  23       800  6.00  3.0  3.1     1.624    0.807    0.525    0.352 
  23       800  6.00  4.0  3.1     2.162    1.076    0.700    0.469 
  23       800  6.00  5.0  3.1     2.698    1.344    0.875    0.587 
  23       800  6.00  6.0  3.1     3.233    1.612    1.050    0.704 
  23       800  6.00  7.0  3.1     3.766    1.879    1.224    0.821 
  23       800  6.00  8.0  3.1     4.297    2.147    1.398    0.938 
  23       800  6.00  9.0  3.1     4.827    2.414    1.572    1.055 
  23       800  6.00 10.0  3.1     5.355    2.681    1.747    1.172 
  24       900  3.50  1.0  3.1     0.551    0.271    0.176    0.116 
  24       900  3.50  2.0  3.1     1.101    0.542    0.351    0.231 
  24       900  3.50  3.0  3.1     1.648    0.813    0.526    0.347 
  24       900  3.50  4.0  3.1     2.193    1.083    0.701    0.462 
  24       900  3.50  5.0  3.1     2.737    1.353    0.876    0.578 
  24       900  3.50  6.0  3.1     3.278    1.623    1.050    0.693 
  24       900  3.50  7.0  3.1     3.818    1.893    1.225    0.809 
  24       900  3.50  8.0  3.1     4.356    2.162    1.399    0.924 
  24       900  3.50  9.0  3.1     4.892    2.430    1.573    1.039 
  24       900  3.50 10.0  3.1     5.427    2.699    1.747    1.154 
  25       900  4.00  1.0  3.1     0.551    0.272    0.175    0.116 
  25       900  4.00  2.0  3.1     1.100    0.543    0.351    0.231 
  25       900  4.00  3.0  3.1     1.647    0.813    0.526    0.347 
  25       900  4.00  4.0  3.1     2.192    1.084    0.701    0.463 
  25       900  4.00  5.0  3.1     2.735    1.354    0.876    0.578 
  25       900  4.00  6.0  3.1     3.277    1.624    1.051    0.694 
  25       900  4.00  7.0  3.1     3.816    1.893    1.225    0.810 
  25       900  4.00  8.0  3.1     4.354    2.162    1.400    0.925 
  25       900  4.00  9.0  3.1     4.891    2.431    1.574    1.040 
  25       900  4.00 10.0  3.1     5.425    2.699    1.748    1.156 
  26       900  4.50  1.0  3.1     0.549    0.270    0.175    0.116 
  26       900  4.50  2.0  3.1     1.096    0.541    0.350    0.232 
  26       900  4.50  3.0  3.1     1.641    0.811    0.526    0.348 
  26       900  4.50  4.0  3.1     2.184    1.081    0.701    0.463 
  26       900  4.50  5.0  3.1     2.726    1.350    0.875    0.579 
  26       900  4.50  6.0  3.1     3.265    1.619    1.050    0.695 
  26       900  4.50  7.0  3.1     3.803    1.888    1.225    0.811 
  26       900  4.50  8.0  3.1     4.339    2.157    1.399    0.927 
  26       900  4.50  9.0  3.1     4.874    2.425    1.573    1.042 
  26       900  4.50 10.0  3.1     5.407    2.693    1.748    1.158 
  27       900  5.00  1.0  3.1     0.551    0.272    0.177    0.117 
  27       900  5.00  2.0  3.1     1.100    0.543    0.354    0.233 
  27       900  5.00  3.0  3.1     1.647    0.814    0.531    0.349 
  27       900  5.00  4.0  3.1     2.192    1.085    0.708    0.465 
  27       900  5.00  5.0  3.1     2.736    1.355    0.885    0.582 
  27       900  5.00  6.0  3.1     3.277    1.625    1.061    0.698 
  27       900  5.00  7.0  3.1     3.817    1.895    1.238    0.814 
  27       900  5.00  8.0  3.1     4.355    2.164    1.414    0.930 
  27       900  5.00  9.0  3.1     4.891    2.433    1.590    1.046 
  27       900  5.00 10.0  3.1     5.426    2.702    1.766    1.162 
  28       900  5.50  1.0  3.1     0.551    0.272    0.176    0.116 
  28       900  5.50  2.0  3.1     1.100    0.543    0.352    0.233 
  28       900  5.50  3.0  3.1     1.647    0.814    0.528    0.350 
  28       900  5.50  4.0  3.1     2.192    1.085    0.703    0.467 
  28       900  5.50  5.0  3.1     2.736    1.355    0.879    0.583 
  28       900  5.50  6.0  3.1     3.277    1.625    1.054    0.700 
  28       900  5.50  7.0  3.1     3.816    1.895    1.229    0.816 
  28       900  5.50  8.0  3.1     4.354    2.164    1.404    0.933 
  28       900  5.50  9.0  3.1     4.891    2.433    1.579    1.049 
  28       900  5.50 10.0  3.1     5.425    2.702    1.754    1.166 
  29      1000  3.50  1.0  3.1     0.557    0.274    0.176    0.115 
  29      1000  3.50  2.0  3.1     1.113    0.546    0.352    0.231 
  29      1000  3.50  3.0  3.1     1.666    0.819    0.527    0.346 
  29      1000  3.50  4.0  3.1     2.217    1.091    0.702    0.461 
  29      1000  3.50  5.0  3.1     2.765    1.363    0.878    0.576 
  29      1000  3.50  6.0  3.1     3.312    1.634    1.053    0.691 
  29      1000  3.50  7.0  3.1     3.857    1.905    1.228    0.806 
  29      1000  3.50  8.0  3.1     4.400    2.176    1.402    0.921 
  29      1000  3.50  9.0  3.1     4.941    2.446    1.577    1.036 
  29      1000  3.50 10.0  3.1     5.481    2.716    1.751    1.151 
  30      1000  4.00  1.0  3.1     0.558    0.273    0.176    0.115 
  30      1000  4.00  2.0  3.1     1.114    0.546    0.352    0.231 
  30      1000  4.00  3.0  3.1     1.668    0.819    0.528    0.346 
  30      1000  4.00  4.0  3.1     2.220    1.091    0.704    0.462 
  30      1000  4.00  5.0  3.1     2.770    1.363    0.879    0.577 
  30      1000  4.00  6.0  3.1     3.317    1.635    1.054    0.692 
  30      1000  4.00  7.0  3.1     3.863    1.906    1.229    0.808 
  30      1000  4.00  8.0  3.1     4.407    2.177    1.404    0.923 
  30      1000  4.00  9.0  3.1     4.949    2.448    1.579    1.038 
  30      1000  4.00 10.0  3.1     5.489    2.718    1.754    1.153 
  31      1000  4.50  1.0  3.1     0.558    0.274    0.176    0.116 
  31      1000  4.50  2.0  3.1     1.114    0.547    0.352    0.232 
  31      1000  4.50  3.0  3.1     1.668    0.820    0.528    0.348 
  31      1000  4.50  4.0  3.1     2.220    1.092    0.704    0.464 
  31      1000  4.50  5.0  3.1     2.770    1.364    0.880    0.580 
  31      1000  4.50  6.0  3.1     3.317    1.636    1.055    0.695 
  31      1000  4.50  7.0  3.1     3.863    1.907    1.231    0.811 
  31      1000  4.50  8.0  3.1     4.407    2.178    1.406    0.927 
  31      1000  4.50  9.0  3.1     4.949    2.449    1.581    1.042 
  31      1000  4.50 10.0  3.1     5.489    2.719    1.756    1.158 
  32      1000  5.00  1.0  3.1     0.558    0.273    0.176    0.116 
  32      1000  5.00  2.0  3.1     1.114    0.546    0.353    0.233 
  32      1000  5.00  3.0  3.1     1.669    0.819    0.529    0.349 
  32      1000  5.00  4.0  3.1     2.220    1.092    0.705    0.465 
  32      1000  5.00  5.0  3.1     2.770    1.364    0.881    0.581 
  32      1000  5.00  6.0  3.1     3.318    1.636    1.056    0.697 
  32      1000  5.00  7.0  3.1     3.864    1.907    1.232    0.813 
  32      1000  5.00  8.0  3.1     4.408    2.178    1.408    0.929 
  32      1000  5.00  9.0  3.1     4.950    2.449    1.583    1.045 
  32      1000  5.00 10.0  3.1     5.490    2.719    1.758    1.161 
  33      1000  5.50  1.0  3.1     0.559    0.274    0.177    0.117 
  33      1000  5.50  2.0  3.1     1.116    0.548    0.353    0.234 
  33      1000  5.50  3.0  3.1     1.670    0.821    0.530    0.350 
  33      1000  5.50  4.0  3.1     2.223    1.093    0.706    0.467 
  33      1000  5.50  5.0  3.1     2.773    1.366    0.882    0.583 
  33      1000  5.50  6.0  3.1     3.321    1.638    1.058    0.700 
  33      1000  5.50  7.0  3.1     3.867    1.909    1.234    0.816 
  33      1000  5.50  8.0  3.1     4.412    2.181    1.410    0.933 
  33      1000  5.50  9.0  3.1     4.954    2.452    1.586    1.049 
  33      1000  5.50 10.0  3.1     5.495    2.722    1.761    1.165 
  34      1000  6.00  1.0  3.1     0.561    0.274    0.177    0.117 
  34      1000  6.00  2.0  3.1     1.119    0.548    0.354    0.233 
  34      1000  6.00  3.0  3.1     1.676    0.822    0.530    0.350 
  34      1000  6.00  4.0  3.1     2.230    1.095    0.707    0.467 
  34      1000  6.00  5.0  3.1     2.781    1.368    0.883    0.584 
  34      1000  6.00  6.0  3.1     3.331    1.641    1.060    0.701 
  34      1000  6.00  7.0  3.1     3.879    1.913    1.236    0.817 
  34      1000  6.00  8.0  3.1     4.424    2.185    1.412    0.934 
  34      1000  6.00  9.0  3.1     4.968    2.456    1.587    1.051 
  34      1000  6.00 10.0  3.1     5.510    2.727    1.763    1.167 
  35      1100  3.50  1.0  3.1     0.564    0.275    0.177    0.116 
  35      1100  3.50  2.0  3.1     1.125    0.550    0.353    0.231 
  35      1100  3.50  3.0  3.1     1.684    0.824    0.529    0.346 
  35      1100  3.50  4.0  3.1     2.240    1.097    0.705    0.461 
  35      1100  3.50  5.0  3.1     2.795    1.371    0.881    0.577 
  35      1100  3.50  6.0  3.1     3.347    1.644    1.057    0.692 
  35      1100  3.50  7.0  3.1     3.896    1.916    1.233    0.807 
  35      1100  3.50  8.0  3.1     4.444    2.188    1.408    0.922 
  35      1100  3.50  9.0  3.1     4.990    2.460    1.583    1.037 
  35      1100  3.50 10.0  3.1     5.534    2.731    1.758    1.152 
  36      1100  4.00  1.0  3.1     0.565    0.275    0.177    0.115 
  36      1100  4.00  2.0  3.1     1.126    0.549    0.353    0.230 
  36      1100  4.00  3.0  3.1     1.685    0.823    0.529    0.346 
  36      1100  4.00  4.0  3.1     2.242    1.097    0.705    0.461 
  36      1100  4.00  5.0  3.1     2.797    1.371    0.881    0.576 
  36      1100  4.00  6.0  3.1     3.349    1.644    1.057    0.691 
  36      1100  4.00  7.0  3.1     3.899    1.916    1.233    0.806 
  36      1100  4.00  8.0  3.1     4.448    2.189    1.408    0.922 
  36      1100  4.00  9.0  3.1     4.994    2.460    1.583    1.037 
  36      1100  4.00 10.0  3.1     5.538    2.732    1.759    1.152 
  37      1100  4.50  1.0  3.1     0.565    0.276    0.176    0.115 
  37      1100  4.50  2.0  3.1     1.126    0.550    0.353    0.231 
  37      1100  4.50  3.0  3.1     1.686    0.824    0.529    0.346 
  37      1100  4.50  4.0  3.1     2.243    1.098    0.705    0.462 
  37      1100  4.50  5.0  3.1     2.797    1.372    0.881    0.577 
  37      1100  4.50  6.0  3.1     3.350    1.645    1.057    0.693 
  37      1100  4.50  7.0  3.1     3.900    1.917    1.233    0.808 
  37      1100  4.50  8.0  3.1     4.449    2.190    1.408    0.923 
  37      1100  4.50  9.0  3.1     4.995    2.462    1.584    1.039 
  37      1100  4.50 10.0  3.1     5.539    2.733    1.759    1.154 
  38      1100  5.00  1.0  3.1     0.565    0.275    0.177    0.116 
  38      1100  5.00  2.0  3.1     1.127    0.550    0.353    0.232 
  38      1100  5.00  3.0  3.1     1.687    0.825    0.530    0.348 
