# BCs for ATLAS9 + DUSTY99 + blackbody spectra:
#  n     Teff  logg        I        J        H       Ks
 248     5500  2.50    0.619    1.133    1.534    1.571
 249     5500  3.00    0.615    1.129    1.534    1.571
 250     5500  3.50    0.613    1.126    1.533    1.571
 251     5500  4.00    0.616    1.127    1.532    1.572
 252     5500  4.50    0.622    1.129    1.529    1.572
 253     5500  5.00    0.630    1.132    1.525    1.572
 254     5750  0.00    0.627    1.064    1.348    1.393
 255     5750  0.50    0.619    1.065    1.370    1.411
 256     5750  1.00    0.611    1.062    1.383    1.421
 257     5750  1.50    0.603    1.057    1.391    1.427
 258     5750  2.00    0.595    1.051    1.396    1.429
 259     5750  2.50    0.587    1.046    1.399    1.431
 260     5750  3.00    0.582    1.042    1.401    1.431
 261     5750  3.50    0.578    1.039    1.402    1.432
 262     5750  4.00    0.579    1.038    1.402    1.433
 263     5750  4.50    0.584    1.040    1.400    1.434
 264     5750  5.00    0.593    1.043    1.398    1.435
 265     6000  0.00    0.577    0.961    1.198    1.240
 266     6000  0.50    0.575    0.969    1.227    1.264
 267     6000  1.00    0.571    0.971    1.245    1.278
 268     6000  1.50    0.566    0.969    1.256    1.287
 269     6000  2.00    0.559    0.965    1.263    1.292
 270     6000  2.50    0.552    0.961    1.268    1.295
 271     6000  3.00    0.545    0.956    1.271    1.297
 272     6000  3.50    0.540    0.952    1.273    1.298
 273     6000  4.00    0.538    0.950    1.275    1.299
 274     6000  4.50    0.541    0.950    1.276    1.300
 275     6000  5.00    0.549    0.953    1.275    1.302
 276     6250  0.50    0.525    0.871    1.086    1.120
 277     6250  1.00    0.526    0.879    1.109    1.139
 278     6250  1.50    0.524    0.880    1.123    1.151
 279     6250  2.00    0.520    0.879    1.133    1.159
 280     6250  2.50    0.514    0.876    1.140    1.164
 281     6250  3.00    0.507    0.871    1.145    1.167
 282     6250  3.50    0.501    0.867    1.148    1.168
 283     6250  4.00    0.496    0.863    1.151    1.170
 284     6250  4.50    0.496    0.862    1.153    1.171
 285     6250  5.00    0.500    0.863    1.155    1.174
 286     6500  0.50    0.467    0.770    0.949    0.980
 287     6500  1.00    0.475    0.784    0.976    1.003
 288     6500  1.50    0.478    0.791    0.994    1.019
 289     6500  2.00    0.477    0.793    1.006    1.030
 290     6500  2.50    0.473    0.791    1.015    1.037
 291     6500  3.00    0.467    0.788    1.021    1.041
 292     6500  3.50    0.461    0.783    1.026    1.044
 293     6500  4.00    0.454    0.779    1.031    1.045
 294     6500  4.50    0.451    0.776    1.034    1.047
 295     6500  5.00    0.452    0.775    1.037    1.049
 296     6750  0.50    0.409    0.673    0.819    0.847
 297     6750  1.00    0.417    0.688    0.846    0.871
 298     6750  1.50    0.426    0.700    0.867    0.890
 299     6750  2.00    0.430    0.706    0.882    0.904
 300     6750  2.50    0.429    0.707    0.893    0.913
 301     6750  3.00    0.425    0.705    0.901    0.919
 302     6750  3.50    0.419    0.701    0.908    0.923
 303     6750  4.00    0.412    0.697    0.913    0.926
 304     6750  4.50    0.407    0.693    0.918    0.927
 305     6750  5.00    0.404    0.690    0.922    0.929
 306     7000  0.50    0.355    0.579    0.698    0.722
 307     7000  1.00    0.361    0.595    0.724    0.745
 308     7000  1.50    0.369    0.607    0.744    0.765
 309     7000  2.00    0.378    0.617    0.761    0.781
 310     7000  2.50    0.382    0.622    0.775    0.792
 311     7000  3.00    0.381    0.623    0.784    0.801
 312     7000  3.50    0.376    0.620    0.792    0.806
 313     7000  4.00    0.370    0.616    0.799    0.810
 314     7000  4.50    0.363    0.612    0.805    0.812
 315     7000  5.00    0.358    0.608    0.810    0.814
 316     7250  0.50    0.305    0.489    0.587    0.606
 317     7250  1.00    0.306    0.505    0.609    0.627
