# BCs for ATLAS9 + DUSTY99 + blackbody spectra:
#  n     Teff  logg        U        B        V        R        I        J        H        K
 221     5000  0.00   -2.727   -1.412   -0.195    0.367    0.773    1.382    1.760    1.832
 222     5000  0.50   -2.606   -1.385   -0.199    0.358    0.766    1.377    1.773    1.843
 223     5000  1.00   -2.493   -1.363   -0.204    0.349    0.761    1.373    1.782    1.850
 224     5000  1.50   -2.386   -1.344   -0.211    0.340    0.757    1.369    1.789    1.856
 225     5000  2.00   -2.284   -1.324   -0.217    0.332    0.752    1.365    1.794    1.860
 226     5000  2.50   -2.193   -1.303   -0.222    0.324    0.747    1.360    1.799    1.864
 227     5000  3.00   -2.119   -1.283   -0.227    0.317    0.741    1.354    1.804    1.868
 228     5000  3.50   -2.070   -1.267   -0.234    0.312    0.737    1.350    1.810    1.872
 229     5000  4.00   -2.043   -1.257   -0.243    0.308    0.735    1.347    1.817    1.876
 230     5000  4.50   -2.038   -1.254   -0.256    0.307    0.736    1.346    1.823    1.882
 231     5000  5.00   -2.056   -1.258   -0.270    0.307    0.738    1.347    1.830    1.888
 232     5250  0.00   -2.292   -1.177   -0.102    0.402    0.772    1.300    1.626    1.690
 233     5250  0.50   -2.183   -1.159   -0.109    0.393    0.765    1.297    1.641    1.701
 234     5250  1.00   -2.078   -1.142   -0.115    0.384    0.760    1.293    1.651    1.709
 235     5250  1.50   -1.982   -1.128   -0.122    0.376    0.755    1.290    1.657    1.714
 236     5250  2.00   -1.893   -1.115   -0.129    0.368    0.750    1.286    1.662    1.718
 237     5250  2.50   -1.817   -1.103   -0.135    0.361    0.745    1.282    1.667    1.721
 238     5250  3.00   -1.756   -1.092   -0.140    0.354    0.740    1.277    1.671    1.724
 239     5250  3.50   -1.715   -1.083   -0.145    0.350    0.736    1.274    1.675    1.727
 240     5250  4.00   -1.693   -1.077   -0.151    0.346    0.734    1.272    1.681    1.731
 241     5250  4.50   -1.689   -1.074   -0.158    0.345    0.733    1.271    1.686    1.736
 242     5250  5.00   -1.704   -1.076   -0.168    0.345    0.734    1.272    1.692    1.741
 243     5500  0.00   -1.896   -0.956   -0.024    0.420    0.752    1.212    1.488    1.550
 244     5500  0.50   -1.812   -0.950   -0.033    0.411    0.748    1.212    1.507    1.563
 245     5500  1.00   -1.725   -0.942   -0.042    0.403    0.743    1.210    1.519    1.572
 246     5500  1.50   -1.640   -0.935   -0.051    0.395    0.739    1.207    1.527    1.578
 247     5500  2.00   -1.562   -0.929   -0.059    0.388    0.735    1.203    1.532    1.582
 248     5500  2.50   -1.495   -0.923   -0.067    0.380    0.730    1.200    1.537    1.585
 249     5500  3.00   -1.440   -0.920   -0.073    0.374    0.726    1.197    1.541    1.587
 250     5500  3.50   -1.403   -0.918   -0.079    0.369    0.722    1.194    1.545    1.590
 251     5500  4.00   -1.382   -0.918   -0.084    0.366    0.720    1.192    1.550    1.593
 252     5500  4.50   -1.378   -0.919   -0.089    0.365    0.719    1.192    1.555    1.597
 253     5500  5.00   -1.391   -0.923   -0.094    0.366    0.720    1.193    1.560    1.601
 254     5750  0.00   -1.529   -0.749    0.041    0.423    0.717    1.117    1.347    1.408
 255     5750  0.50   -1.482   -0.757    0.029    0.417    0.715    1.122    1.371    1.426
 256     5750  1.00   -1.418   -0.760    0.018    0.410    0.713    1.123    1.386    1.437
 257     5750  1.50   -1.349   -0.761    0.008    0.402    0.710    1.121    1.396    1.444
 258     5750  2.00   -1.284   -0.763   -0.002    0.395    0.707    1.119    1.403    1.449
 259     5750  2.50   -1.225   -0.765   -0.012    0.388    0.704    1.116    1.409    1.453
 260     5750  3.00   -1.175   -0.768   -0.021    0.381    0.700    1.114    1.414    1.455
 261     5750  3.50   -1.138   -0.772   -0.028    0.376    0.698    1.112    1.419    1.458
 262     5750  4.00   -1.115   -0.777   -0.034    0.373    0.696    1.110    1.423    1.460
 263     5750  4.50   -1.107   -0.783   -0.039    0.372    0.695    1.110    1.428    1.463
