# Alambda for ATLAS9 + DUSTY99 + blackbody spectra:
#  n      Teff  logg  Av   Rv          U        B        V        R        I        J        H        K
 300      6750  2.50  6.0  3.1     9.057    7.708    5.968    4.787    3.564    1.739    1.100    0.687 
 300      6750  2.50  7.0  3.1    10.549    8.955    6.940    5.552    4.144    2.026    1.282    0.801 
 300      6750  2.50  8.0  3.1    12.037   10.190    7.907    6.307    4.720    2.313    1.465    0.915 
 300      6750  2.50  9.0  3.1    13.522   11.414    8.868    7.052    5.293    2.599    1.647    1.029 
 300      6750  2.50 10.0  3.1    15.004   12.627    9.822    7.787    5.862    2.884    1.828    1.143 
 301      6750  3.00  1.0  3.1     1.530    1.309    1.010    0.819    0.605    0.292    0.184    0.115 
 301      6750  3.00  2.0  3.1     3.053    2.609    2.013    1.630    1.205    0.583    0.367    0.230 
 301      6750  3.00  3.0  3.1     4.570    3.899    3.011    2.432    1.801    0.873    0.551    0.344 
 301      6750  3.00  4.0  3.1     6.080    5.179    4.002    3.225    2.393    1.162    0.734    0.459 
 301      6750  3.00  5.0  3.1     7.584    6.448    4.987    4.009    2.981    1.451    0.917    0.573 
 301      6750  3.00  6.0  3.1     9.083    7.705    5.966    4.784    3.565    1.739    1.099    0.687 
 301      6750  3.00  7.0  3.1    10.578    8.951    6.938    5.549    4.145    2.026    1.282    0.801 
 301      6750  3.00  8.0  3.1    12.069   10.186    7.904    6.304    4.722    2.313    1.464    0.915 
 301      6750  3.00  9.0  3.1    13.557   11.409    8.865    7.049    5.295    2.599    1.646    1.029 
 301      6750  3.00 10.0  3.1    15.041   12.621    9.819    7.783    5.864    2.884    1.828    1.143 
 302      6750  3.50  1.0  3.1     1.536    1.309    1.010    0.818    0.604    0.292    0.184    0.115 
 302      6750  3.50  2.0  3.1     3.064    2.609    2.013    1.629    1.204    0.583    0.367    0.229 
 302      6750  3.50  3.0  3.1     4.585    3.898    3.010    2.430    1.800    0.873    0.551    0.344 
 302      6750  3.50  4.0  3.1     6.099    5.177    4.001    3.223    2.393    1.162    0.734    0.458 
 302      6750  3.50  5.0  3.1     7.607    6.446    4.986    4.007    2.981    1.451    0.917    0.573 
 302      6750  3.50  6.0  3.1     9.110    7.703    5.964    4.781    3.565    1.739    1.100    0.687 
 302      6750  3.50  7.0  3.1    10.608    8.948    6.936    5.546    4.145    2.026    1.282    0.801 
 302      6750  3.50  8.0  3.1    12.102   10.182    7.902    6.300    4.722    2.312    1.465    0.915 
 302      6750  3.50  9.0  3.1    13.592   11.405    8.862    7.044    5.295    2.598    1.647    1.029 
 302      6750  3.50 10.0  3.1    15.079   12.616    9.816    7.779    5.864    2.883    1.828    1.143 
 303      6750  4.00  1.0  3.1     1.541    1.308    1.009    0.818    0.604    0.292    0.184    0.115 
 303      6750  4.00  2.0  3.1     3.074    2.607    2.012    1.628    1.204    0.582    0.367    0.230 
 303      6750  4.00  3.0  3.1     4.599    3.896    3.009    2.430    1.800    0.872    0.551    0.344 
 303      6750  4.00  4.0  3.1     6.117    5.175    4.000    3.222    2.392    1.162    0.734    0.459 
 303      6750  4.00  5.0  3.1     7.629    6.442    4.984    4.006    2.981    1.450    0.917    0.573 
 303      6750  4.00  6.0  3.1     9.135    7.699    5.962    4.780    3.565    1.738    1.100    0.687 
 303      6750  4.00  7.0  3.1    10.637    8.944    6.934    5.544    4.145    2.025    1.282    0.801 
 303      6750  4.00  8.0  3.1    12.134   10.177    7.899    6.298    4.722    2.312    1.465    0.915 
 303      6750  4.00  9.0  3.1    13.626   11.399    8.859    7.042    5.295    2.597    1.647    1.029 
 303      6750  4.00 10.0  3.1    15.115   12.610    9.813    7.775    5.864    2.882    1.829    1.143 
 304      6750  4.50  1.0  3.1     1.546    1.308    1.009    0.818    0.604    0.291    0.184    0.115 
 304      6750  4.50  2.0  3.1     3.082    2.606    2.012    1.628    1.204    0.582    0.368    0.230 
 304      6750  4.50  3.0  3.1     4.611    3.895    3.008    2.429    1.800    0.872    0.552    0.344 
 304      6750  4.50  4.0  3.1     6.133    5.172    3.998    3.221    2.392    1.161    0.735    0.459 
 304      6750  4.50  5.0  3.1     7.649    6.439    4.983    4.004    2.980    1.450    0.918    0.573 
 304      6750  4.50  6.0  3.1     9.159    7.695    5.960    4.778    3.564    1.738    1.101    0.687 
 304      6750  4.50  7.0  3.1    10.663    8.939    6.932    5.542    4.145    2.025    1.283    0.801 
 304      6750  4.50  8.0  3.1    12.163   10.172    7.897    6.295    4.721    2.311    1.466    0.915 
 304      6750  4.50  9.0  3.1    13.658   11.394    8.857    7.039    5.294    2.597    1.648    1.029 
 304      6750  4.50 10.0  3.1    15.150   12.604    9.810    7.772    5.864    2.882    1.830    1.143 
 305      6750  5.00  1.0  3.1     1.549    1.308    1.009    0.817    0.604    0.291    0.184    0.114 
 305      6750  5.00  2.0  3.1     3.089    2.606    2.012    1.627    1.204    0.582    0.367    0.229 
 305      6750  5.00  3.0  3.1     4.622    3.893    3.008    2.428    1.800    0.872    0.551    0.343 
 305      6750  5.00  4.0  3.1     6.147    5.170    3.998    3.220    2.392    1.161    0.734    0.458 
 305      6750  5.00  5.0  3.1     7.666    6.436    4.982    4.002    2.980    1.449    0.917    0.572 
 305      6750  5.00  6.0  3.1     9.178    7.691    5.959    4.776    3.564    1.737    1.100    0.686 
 305      6750  5.00  7.0  3.1    10.686    8.935    6.931    5.539    4.144    2.024    1.282    0.801 
 305      6750  5.00  8.0  3.1    12.188   10.167    7.896    6.292    4.721    2.311    1.465    0.915 
 305      6750  5.00  9.0  3.1    13.686   11.388    8.855    7.036    5.294    2.596    1.647    1.029 
 305      6750  5.00 10.0  3.1    15.180   12.598    9.808    7.769    5.863    2.881    1.829    1.143 
 306      7000  0.50  1.0  3.1     1.505    1.316    1.013    0.823    0.603    0.293    0.183    0.115 
 306      7000  0.50  2.0  3.1     3.004    2.622    2.020    1.637    1.201    0.585    0.367    0.229 
 306      7000  0.50  3.0  3.1     4.499    3.919    3.020    2.443    1.796    0.875    0.550    0.344 
 306      7000  0.50  4.0  3.1     5.990    5.206    4.015    3.240    2.386    1.166    0.733    0.458 
 306      7000  0.50  5.0  3.1     7.477    6.481    5.003    4.028    2.972    1.455    0.916    0.572 
 306      7000  0.50  6.0  3.1     8.961    7.746    5.984    4.807    3.554    1.744    1.099    0.687 
 306      7000  0.50  7.0  3.1    10.442    8.999    6.960    5.575    4.132    2.032    1.281    0.801 
 306      7000  0.50  8.0  3.1    11.921   10.241    7.930    6.334    4.707    2.319    1.464    0.915 
 306      7000  0.50  9.0  3.1    13.397   11.471    8.893    7.082    5.278    2.605    1.646    1.029 
 306      7000  0.50 10.0  3.1    14.872   12.690    9.850    7.820    5.845    2.891    1.827    1.143 
 307      7000  1.00  1.0  3.1     1.507    1.316    1.013    0.822    0.603    0.292    0.183    0.114 
 307      7000  1.00  2.0  3.1     3.008    2.622    2.019    1.636    1.202    0.583    0.367    0.229 
 307      7000  1.00  3.0  3.1     4.505    3.919    3.020    2.441    1.797    0.874    0.550    0.344 
 307      7000  1.00  4.0  3.1     5.997    5.205    4.014    3.238    2.388    1.164    0.733    0.458 
 307      7000  1.00  5.0  3.1     7.486    6.480    5.001    4.026    2.975    1.454    0.916    0.572 
 307      7000  1.00  6.0  3.1     8.971    7.745    5.983    4.804    3.557    1.742    1.099    0.687 
 307      7000  1.00  7.0  3.1    10.453    8.998    6.958    5.572    4.136    2.030    1.281    0.801 
 307      7000  1.00  8.0  3.1    11.932   10.239    7.928    6.330    4.711    2.317    1.463    0.915 
 307      7000  1.00  9.0  3.1    13.409   11.469    8.891    7.078    5.282    2.603    1.646    1.029 
 307      7000  1.00 10.0  3.1    14.884   12.688    9.847    7.816    5.850    2.889    1.827    1.143 
 308      7000  1.50  1.0  3.1     1.511    1.315    1.012    0.822    0.603    0.292    0.183    0.114 
 308      7000  1.50  2.0  3.1     3.016    2.621    2.018    1.635    1.203    0.584    0.367    0.229 
 308      7000  1.50  3.0  3.1     4.516    3.916    3.018    2.441    1.798    0.874    0.550    0.344 
 308      7000  1.50  4.0  3.1     6.011    5.202    4.012    3.237    2.389    1.164    0.733    0.458 
 308      7000  1.50  5.0  3.1     7.502    6.477    4.999    4.024    2.977    1.453    0.916    0.572 
 308      7000  1.50  6.0  3.1     8.989    7.740    5.981    4.802    3.560    1.742    1.099    0.687 
 308      7000  1.50  7.0  3.1    10.473    8.993    6.956    5.570    4.139    2.029    1.281    0.801 
 308      7000  1.50  8.0  3.1    11.954   10.234    7.924    6.327    4.715    2.316    1.463    0.915 
 308      7000  1.50  9.0  3.1    13.432   11.463    8.887    7.075    5.287    2.603    1.645    1.029 
 308      7000  1.50 10.0  3.1    14.908   12.681    9.844    7.812    5.855    2.888    1.827    1.143 
 309      7000  2.00  1.0  3.1     1.517    1.313    1.012    0.821    0.604    0.292    0.183    0.115 
 309      7000  2.00  2.0  3.1     3.027    2.617    2.018    1.634    1.204    0.584    0.367    0.229 
 309      7000  2.00  3.0  3.1     4.532    3.912    3.017    2.439    1.799    0.874    0.550    0.344 
 309      7000  2.00  4.0  3.1     6.031    5.196    4.010    3.235    2.391    1.164    0.733    0.458 
 309      7000  2.00  5.0  3.1     7.525    6.469    4.997    4.022    2.979    1.453    0.916    0.573 
 309      7000  2.00  6.0  3.1     9.016    7.731    5.978    4.799    3.563    1.741    1.099    0.687 
 309      7000  2.00  7.0  3.1    10.502    8.982    6.952    5.566    4.143    2.029    1.281    0.801 
 309      7000  2.00  8.0  3.1    11.986   10.222    7.921    6.324    4.719    2.316    1.464    0.915 
 309      7000  2.00  9.0  3.1    13.466   11.449    8.883    7.071    5.291    2.602    1.646    1.029 
 309      7000  2.00 10.0  3.1    14.944   12.666    9.839    7.808    5.860    2.888    1.827    1.143 
 310      7000  2.50  1.0  3.1     1.523    1.313    1.011    0.821    0.604    0.292    0.184    0.114 
 310      7000  2.50  2.0  3.1     3.039    2.616    2.017    1.634    1.205    0.583    0.368    0.229 
 310      7000  2.50  3.0  3.1     4.548    3.909    3.015    2.438    1.801    0.874    0.551    0.343 
 310      7000  2.50  4.0  3.1     6.051    5.192    4.008    3.233    2.393    1.163    0.734    0.458 
 310      7000  2.50  5.0  3.1     7.550    6.464    4.995    4.019    2.981    1.452    0.917    0.572 
 310      7000  2.50  6.0  3.1     9.044    7.725    5.975    4.796    3.565    1.741    1.100    0.686 
 310      7000  2.50  7.0  3.1    10.534    8.974    6.949    5.563    4.145    2.028    1.282    0.801 
 310      7000  2.50  8.0  3.1    12.020   10.212    7.917    6.320    4.722    2.315    1.465    0.915 
 310      7000  2.50  9.0  3.1    13.503   11.439    8.878    7.067    5.295    2.601    1.647    1.029 
 310      7000  2.50 10.0  3.1    14.983   12.654    9.834    7.803    5.864    2.887    1.829    1.143 
 311      7000  3.00  1.0  3.1     1.528    1.312    1.011    0.820    0.604    0.292    0.184    0.115 
 311      7000  3.00  2.0  3.1     3.049    2.615    2.016    1.632    1.205    0.583    0.368    0.230 
 311      7000  3.00  3.0  3.1     4.563    3.907    3.014    2.436    1.801    0.874    0.551    0.344 
 311      7000  3.00  4.0  3.1     6.071    5.189    4.006    3.231    2.393    1.163    0.734    0.459 
 311      7000  3.00  5.0  3.1     7.573    6.460    4.992    4.016    2.982    1.452    0.917    0.573 
 311      7000  3.00  6.0  3.1     9.071    7.720    5.972    4.792    3.566    1.740    1.100    0.687 
 311      7000  3.00  7.0  3.1    10.564    8.969    6.946    5.559    4.147    2.028    1.283    0.801 
 311      7000  3.00  8.0  3.1    12.053   10.206    7.913    6.315    4.723    2.314    1.465    0.915 
 311      7000  3.00  9.0  3.1    13.539   11.432    8.875    7.062    5.296    2.600    1.647    1.029 
 311      7000  3.00 10.0  3.1    15.021   12.646    9.830    7.798    5.866    2.886    1.829    1.143 
 312      7000  3.50  1.0  3.1     1.534    1.311    1.010    0.820    0.605    0.292    0.184    0.114 
 312      7000  3.50  2.0  3.1     3.060    2.613    2.015    1.632    1.205    0.583    0.368    0.229 
 312      7000  3.50  3.0  3.1     4.579    3.905    3.013    2.435    1.801    0.873    0.551    0.343 
 312      7000  3.50  4.0  3.1     6.091    5.186    4.005    3.229    2.394    1.163    0.734    0.458 
 312      7000  3.50  5.0  3.1     7.598    6.456    4.991    4.014    2.982    1.451    0.917    0.572 
 312      7000  3.50  6.0  3.1     9.099    7.716    5.970    4.790    3.567    1.739    1.100    0.686 
 312      7000  3.50  7.0  3.1    10.596    8.964    6.943    5.556    4.148    2.027    1.283    0.801 
 312      7000  3.50  8.0  3.1    12.088   10.200    7.910    6.312    4.724    2.313    1.465    0.915 
 312      7000  3.50  9.0  3.1    13.577   11.425    8.871    7.057    5.298    2.599    1.647    1.029 
 312      7000  3.50 10.0  3.1    15.062   12.639    9.826    7.793    5.867    2.885    1.829    1.143 
 313      7000  4.00  1.0  3.1     1.540    1.311    1.010    0.819    0.605    0.292    0.184    0.114 
 313      7000  4.00  2.0  3.1     3.071    2.612    2.014    1.630    1.205    0.583    0.367    0.229 
 313      7000  4.00  3.0  3.1     4.595    3.903    3.012    2.433    1.802    0.873    0.551    0.343 
 313      7000  4.00  4.0  3.1     6.111    5.184    4.004    3.227    2.394    1.163    0.734    0.458 
 313      7000  4.00  5.0  3.1     7.622    6.454    4.989    4.012    2.983    1.451    0.917    0.572 
 313      7000  4.00  6.0  3.1     9.127    7.712    5.968    4.787    3.567    1.739    1.100    0.687 
 313      7000  4.00  7.0  3.1    10.627    8.960    6.941    5.552    4.148    2.027    1.283    0.801 
 313      7000  4.00  8.0  3.1    12.123   10.195    7.908    6.307    4.725    2.313    1.465    0.915 
 313      7000  4.00  9.0  3.1    13.614   11.419    8.868    7.053    5.298    2.599    1.647    1.029 
 313      7000  4.00 10.0  3.1    15.102   12.632    9.823    7.788    5.868    2.884    1.829    1.143 
 314      7000  4.50  1.0  3.1     1.544    1.310    1.010    0.819    0.605    0.292    0.184    0.115 
 314      7000  4.50  2.0  3.1     3.080    2.610    2.013    1.630    1.205    0.583    0.368    0.229 
 314      7000  4.50  3.0  3.1     4.608    3.901    3.011    2.432    1.802    0.873    0.552    0.344 
 314      7000  4.50  4.0  3.1     6.129    5.181    4.002    3.226    2.394    1.162    0.735    0.458 
 314      7000  4.50  5.0  3.1     7.644    6.450    4.987    4.010    2.982    1.451    0.918    0.573 
 314      7000  4.50  6.0  3.1     9.153    7.708    5.966    4.785    3.567    1.739    1.101    0.687 
 314      7000  4.50  7.0  3.1    10.656    8.955    6.939    5.550    4.148    2.026    1.283    0.801 
 314      7000  4.50  8.0  3.1    12.155   10.190    7.905    6.304    4.725    2.313    1.466    0.915 
 314      7000  4.50  9.0  3.1    13.649   11.413    8.865    7.049    5.298    2.598    1.648    1.029 
 314      7000  4.50 10.0  3.1    15.140   12.625    9.820    7.784    5.868    2.883    1.830    1.143 
 315      7000  5.00  1.0  3.1     1.549    1.310    1.010    0.819    0.605    0.292    0.184    0.115 
 315      7000  5.00  2.0  3.1     3.089    2.610    2.013    1.629    1.205    0.583    0.367    0.229 
 315      7000  5.00  3.0  3.1     4.621    3.900    3.011    2.431    1.801    0.873    0.551    0.344 
 315      7000  5.00  4.0  3.1     6.146    5.179    4.002    3.224    2.394    1.162    0.734    0.458 
 315      7000  5.00  5.0  3.1     7.664    6.448    4.986    4.008    2.982    1.451    0.917    0.572 
 315      7000  5.00  6.0  3.1     9.176    7.705    5.965    4.783    3.566    1.739    1.100    0.687 
 315      7000  5.00  7.0  3.1    10.683    8.951    6.937    5.547    4.147    2.026    1.283    0.801 
 315      7000  5.00  8.0  3.1    12.184   10.185    7.903    6.302    4.724    2.313    1.465    0.915 
 315      7000  5.00  9.0  3.1    13.682   11.408    8.863    7.046    5.297    2.598    1.647    1.029 
 315      7000  5.00 10.0  3.1    15.175   12.619    9.817    7.780    5.867    2.883    1.829    1.143 
 316      7250  0.50  1.0  3.1     1.504    1.318    1.014    0.823    0.603    0.292    0.184    0.114 
 316      7250  0.50  2.0  3.1     3.004    2.627    2.021    1.639    1.202    0.584    0.367    0.229 
 316      7250  0.50  3.0  3.1     4.498    3.926    3.023    2.446    1.796    0.875    0.550    0.344 
 316      7250  0.50  4.0  3.1     5.989    5.215    4.018    3.245    2.386    1.165    0.734    0.458 
 316      7250  0.50  5.0  3.1     7.476    6.493    5.007    4.034    2.972    1.455    0.917    0.572 
 316      7250  0.50  6.0  3.1     8.960    7.760    5.990    4.814    3.554    1.744    1.099    0.687 
 316      7250  0.50  7.0  3.1    10.441    9.015    6.967    5.584    4.133    2.032    1.282    0.801 
 316      7250  0.50  8.0  3.1    11.920   10.259    7.937    6.344    4.707    2.319    1.464    0.915 
 316      7250  0.50  9.0  3.1    13.396   11.491    8.901    7.093    5.278    2.606    1.646    1.029 
 316      7250  0.50 10.0  3.1    14.871   12.711    9.859    7.833    5.845    2.892    1.828    1.143 
 317      7250  1.00  1.0  3.1     1.506    1.318    1.014    0.824    0.603    0.292    0.184    0.114 
 317      7250  1.00  2.0  3.1     3.006    2.628    2.021    1.639    1.202    0.584    0.367    0.229 
 317      7250  1.00  3.0  3.1     4.501    3.927    3.022    2.446    1.797    0.875    0.550    0.344 
 317      7250  1.00  4.0  3.1     5.992    5.216    4.018    3.244    2.387    1.165    0.734    0.458 
 317      7250  1.00  5.0  3.1     7.480    6.494    5.006    4.033    2.974    1.454    0.916    0.572 
 317      7250  1.00  6.0  3.1     8.964    7.761    5.989    4.812    3.557    1.743    1.099    0.687 
 317      7250  1.00  7.0  3.1    10.445    9.017    6.965    5.582    4.135    2.031    1.282    0.801 
 317      7250  1.00  8.0  3.1    11.923   10.261    7.936    6.342    4.710    2.318    1.464    0.915 
 317      7250  1.00  9.0  3.1    13.400   11.494    8.900    7.091    5.281    2.605    1.646    1.029 
 317      7250  1.00 10.0  3.1    14.874   12.715    9.858    7.830    5.849    2.891    1.828    1.143 
 318      7250  1.50  1.0  3.1     1.509    1.318    1.013    0.823    0.603    0.293    0.184    0.115 
 318      7250  1.50  2.0  3.1     3.012    2.626    2.020    1.638    1.203    0.584    0.367    0.230 
 318      7250  1.50  3.0  3.1     4.510    3.925    3.021    2.445    1.798    0.875    0.551    0.344 
 318      7250  1.50  4.0  3.1     6.004    5.213    4.016    3.242    2.390    1.165    0.734    0.459 
 318      7250  1.50  5.0  3.1     7.493    6.491    5.005    4.031    2.977    1.455    0.917    0.573 
 318      7250  1.50  6.0  3.1     8.979    7.757    5.987    4.810    3.560    1.743    1.099    0.687 
 318      7250  1.50  7.0  3.1    10.461    9.012    6.963    5.580    4.139    2.031    1.282    0.801 
 318      7250  1.50  8.0  3.1    11.941   10.256    7.933    6.339    4.715    2.318    1.464    0.915 
 318      7250  1.50  9.0  3.1    13.418   11.488    8.897    7.088    5.287    2.605    1.646    1.029 
 318      7250  1.50 10.0  3.1    14.892   12.708    9.854    7.827    5.855    2.891    1.828    1.143 
 319      7250  2.00  1.0  3.1     1.514    1.317    1.013    0.822    0.605    0.292    0.184    0.115 
 319      7250  2.00  2.0  3.1     3.022    2.624    2.019    1.637    1.205    0.583    0.367    0.230 
 319      7250  2.00  3.0  3.1     4.524    3.922    3.020    2.443    1.801    0.874    0.550    0.344 
 319      7250  2.00  4.0  3.1     6.020    5.209    4.014    3.240    2.392    1.164    0.734    0.459 
 319      7250  2.00  5.0  3.1     7.513    6.486    5.003    4.028    2.980    1.453    0.916    0.573 
 319      7250  2.00  6.0  3.1     9.001    7.751    5.985    4.807    3.564    1.742    1.099    0.687 
 319      7250  2.00  7.0  3.1    10.486    9.005    6.960    5.576    4.144    2.030    1.282    0.801 
 319      7250  2.00  8.0  3.1    11.967   10.248    7.930    6.335    4.720    2.317    1.464    0.916 
 319      7250  2.00  9.0  3.1    13.446   11.479    8.893    7.083    5.292    2.603    1.646    1.029 
 319      7250  2.00 10.0  3.1    14.922   12.698    9.851    7.822    5.861    2.889    1.828    1.143 
 320      7250  2.50  1.0  3.1     1.520    1.315    1.013    0.822    0.605    0.292    0.184    0.114 
 320      7250  2.50  2.0  3.1     3.033    2.621    2.019    1.636    1.205    0.583    0.367    0.229 
 320      7250  2.50  3.0  3.1     4.540    3.917    3.019    2.442    1.801    0.874    0.551    0.343 
 320      7250  2.50  4.0  3.1     6.041    5.203    4.013    3.238    2.393    1.164    0.734    0.458 
 320      7250  2.50  5.0  3.1     7.537    6.478    5.001    4.026    2.982    1.453    0.917    0.572 
 320      7250  2.50  6.0  3.1     9.029    7.742    5.982    4.804    3.566    1.742    1.099    0.686 
 320      7250  2.50  7.0  3.1    10.517    8.994    6.957    5.573    4.146    2.029    1.282    0.801 
 320      7250  2.50  8.0  3.1    12.002   10.235    7.926    6.331    4.723    2.316    1.464    0.915 
 320      7250  2.50  9.0  3.1    13.483   11.464    8.889    7.079    5.296    2.603    1.646    1.029 
 320      7250  2.50 10.0  3.1    14.961   12.682    9.846    7.817    5.865    2.888    1.828    1.143 
 321      7250  3.00  1.0  3.1     1.526    1.313    1.012    0.821    0.604    0.293    0.184    0.115 
 321      7250  3.00  2.0  3.1     3.045    2.618    2.018    1.635    1.205    0.584    0.368    0.230 
 321      7250  3.00  3.0  3.1     4.557    3.913    3.017    2.440    1.802    0.874    0.551    0.344 
 321      7250  3.00  4.0  3.1     6.063    5.197    4.011    3.236    2.394    1.164    0.734    0.459 
 321      7250  3.00  5.0  3.1     7.563    6.470    4.998    4.023    2.983    1.453    0.917    0.573 
 321      7250  3.00  6.0  3.1     9.059    7.733    5.979    4.801    3.568    1.742    1.100    0.687 
 321      7250  3.00  7.0  3.1    10.551    8.984    6.953    5.569    4.148    2.029    1.282    0.801 
 321      7250  3.00  8.0  3.1    12.038   10.223    7.922    6.327    4.725    2.316    1.465    0.915 
 321      7250  3.00  9.0  3.1    13.522   11.451    8.884    7.074    5.299    2.603    1.647    1.029 
 321      7250  3.00 10.0  3.1    15.003   12.667    9.841    7.812    5.868    2.888    1.829    1.143 
 322      7250  3.50  1.0  3.1     1.532    1.313    1.011    0.821    0.605    0.292    0.183    0.115 
 322      7250  3.50  2.0  3.1     3.056    2.616    2.017    1.634    1.206    0.584    0.367    0.229 
 322      7250  3.50  3.0  3.1     4.574    3.910    3.016    2.439    1.803    0.874    0.551    0.344 
 322      7250  3.50  4.0  3.1     6.084    5.193    4.009    3.235    2.396    1.164    0.734    0.458 
 322      7250  3.50  5.0  3.1     7.589    6.466    4.996    4.021    2.984    1.453    0.917    0.573 
 322      7250  3.50  6.0  3.1     9.089    7.727    5.976    4.798    3.569    1.741    1.100    0.687 
 322      7250  3.50  7.0  3.1    10.584    8.977    6.950    5.566    4.150    2.029    1.282    0.801 
 322      7250  3.50  8.0  3.1    12.075   10.216    7.918    6.323    4.727    2.315    1.464    0.915 
 322      7250  3.50  9.0  3.1    13.562   11.443    8.880    7.070    5.301    2.602    1.647    1.029 
 322      7250  3.50 10.0  3.1    15.045   12.658    9.836    7.807    5.871    2.887    1.829    1.143 
 323      7250  4.00  1.0  3.1     1.538    1.312    1.011    0.821    0.605    0.291    0.184    0.115 
 323      7250  4.00  2.0  3.1     3.068    2.615    2.016    1.633    1.205    0.583    0.368    0.229 
 323      7250  4.00  3.0  3.1     4.590    3.908    3.015    2.437    1.802    0.873    0.551    0.344 
 323      7250  4.00  4.0  3.1     6.106    5.191    4.007    3.232    2.395    1.163    0.735    0.458 
 323      7250  4.00  5.0  3.1     7.615    6.462    4.993    4.018    2.984    1.452    0.918    0.573 
 323      7250  4.00  6.0  3.1     9.119    7.723    5.974    4.795    3.569    1.740    1.101    0.687 
 323      7250  4.00  7.0  3.1    10.617    8.972    6.947    5.562    4.150    2.027    1.283    0.801 
 323      7250  4.00  8.0  3.1    12.112   10.210    7.915    6.318    4.727    2.314    1.466    0.915 
 323      7250  4.00  9.0  3.1    13.602   11.436    8.877    7.065    5.301    2.600    1.648    1.029 
 323      7250  4.00 10.0  3.1    15.088   12.650    9.832    7.801    5.871    2.885    1.830    1.143 
 324      7250  4.50  1.0  3.1     1.544    1.312    1.011    0.820    0.605    0.292    0.184    0.115 
 324      7250  4.50  2.0  3.1     3.078    2.614    2.016    1.632    1.206    0.583    0.367    0.230 
 324      7250  4.50  3.0  3.1     4.606    3.906    3.014    2.435    1.802    0.873    0.551    0.344 
 324      7250  4.50  4.0  3.1     6.126    5.188    4.006    3.230    2.395    1.163    0.734    0.459 
 324      7250  4.50  5.0  3.1     7.639    6.459    4.992    4.015    2.984    1.452    0.917    0.573 
 324      7250  4.50  6.0  3.1     9.147    7.719    5.972    4.791    3.569    1.740    1.100    0.687 
 324      7250  4.50  7.0  3.1    10.649    8.967    6.946    5.558    4.150    2.027    1.283    0.801 
 324      7250  4.50  8.0  3.1    12.146   10.204    7.913    6.314    4.727    2.314    1.465    0.915 
 324      7250  4.50  9.0  3.1    13.640   11.429    8.874    7.060    5.301    2.600    1.648    1.029 
 324      7250  4.50 10.0  3.1    15.129   12.643    9.829    7.796    5.871    2.885    1.830    1.143 
 325      7250  5.00  1.0  3.1     1.548    1.311    1.010    0.820    0.605    0.292    0.184    0.114 
 325      7250  5.00  2.0  3.1     3.087    2.613    2.015    1.631    1.206    0.583    0.368    0.229 
 325      7250  5.00  3.0  3.1     4.619    3.904    3.013    2.434    1.802    0.873    0.551    0.343 
 325      7250  5.00  4.0  3.1     6.143    5.185    4.005    3.229    2.395    1.162    0.734    0.458 
 325      7250  5.00  5.0  3.1     7.660    6.456    4.990    4.014    2.984    1.451    0.918    0.572 
 325      7250  5.00  6.0  3.1     9.172    7.715    5.970    4.789    3.569    1.739    1.100    0.687 
 325      7250  5.00  7.0  3.1    10.678    8.963    6.943    5.555    4.150    2.027    1.283    0.801 
 325      7250  5.00  8.0  3.1    12.178   10.199    7.910    6.311    4.727    2.313    1.466    0.915 
 325      7250  5.00  9.0  3.1    13.675   11.423    8.871    7.056    5.301    2.599    1.648    1.029 
 325      7250  5.00 10.0  3.1    15.167   12.637    9.826    7.792    5.871    2.884    1.830    1.143 
 326      7500  0.50  1.0  3.1     1.508    1.319    1.014    0.825    0.603    0.293    0.184    0.115 
 326      7500  0.50  2.0  3.1     3.011    2.629    2.022    1.641    1.201    0.584    0.368    0.229 
 326      7500  0.50  3.0  3.1     4.508    3.929    3.024    2.449    1.796    0.876    0.551    0.344 
 326      7500  0.50  4.0  3.1     6.002    5.218    4.019    3.248    2.386    1.166    0.734    0.458 
 326      7500  0.50  5.0  3.1     7.491    6.496    5.008    4.038    2.973    1.456    0.917    0.573 
 326      7500  0.50  6.0  3.1     8.977    7.763    5.991    4.819    3.555    1.745    1.100    0.687 
 326      7500  0.50  7.0  3.1    10.460    9.019    6.968    5.590    4.133    2.033    1.282    0.801 
 326      7500  0.50  8.0  3.1    11.940   10.262    7.939    6.350    4.708    2.320    1.465    0.915 
 326      7500  0.50  9.0  3.1    13.418   11.494    8.903    7.101    5.279    2.607    1.647    1.029 
 326      7500  0.50 10.0  3.1    14.894   12.715    9.862    7.841    5.846    2.893    1.829    1.143 
 327      7500  1.00  1.0  3.1     1.506    1.320    1.015    0.824    0.603    0.292    0.184    0.115 
 327      7500  1.00  2.0  3.1     3.006    2.632    2.023    1.640    1.202    0.584    0.368    0.230 
 327      7500  1.00  3.0  3.1     4.501    3.933    3.025    2.448    1.797    0.875    0.551    0.344 
 327      7500  1.00  4.0  3.1     5.992    5.225    4.021    3.248    2.388    1.166    0.734    0.459 
 327      7500  1.00  5.0  3.1     7.479    6.505    5.011    4.038    2.975    1.455    0.917    0.573 
 327      7500  1.00  6.0  3.1     8.962    7.774    5.994    4.818    3.557    1.744    1.100    0.687 
 327      7500  1.00  7.0  3.1    10.443    9.032    6.972    5.589    4.136    2.032    1.282    0.801 
 327      7500  1.00  8.0  3.1    11.922   10.279    7.943    6.350    4.711    2.320    1.464    0.915 
